symbol	Entrez	UNIPROT	EV_number of experiment	Colorectal cancer cells	Ovarian cancer cells	Breast cancer cells	Kidney cancer cells	Glioblastoma cells	Lung cancer cells	Stomach cancer cells	Hepatoma cells	Pancreatic cancer cells	Pancreatic adenocarcinoma cells
HLA-DRA	3122	P01903	14	5	4	2	1	0	2	0	0	0	0
ICAM2	3384	P13598	14	6	4	1	1	0	2	0	0	0	0
IFNGR1	3459	P15260	14	5	2	2	3	0	2	0	0	0	0
MKI67	4288	P46013	14	2	2	2	1	0	7	0	0	0	0
PNN	5411	Q9H307	14	3	7	1	1	0	2	0	0	0	0
RELN	5649	P78509	14	6	3	0	1	0	4	0	0	0	0
PXN	5829	P49023	14	5	5	2	1	0	1	0	0	0	0
PYCR1	5831	P32322	14	5	1	1	4	0	3	0	0	0	0
SPP1	6696	P10451	14	3	7	1	2	0	1	0	0	0	0
TPR	7175	P12270	14	2	6	3	2	0	1	0	0	0	0
NCOA4	8031	Q13772	14	8	2	1	1	0	2	0	0	0	0
DHX16	8449	O60231	14	3	2	1	3	0	5	0	0	0	0
CUL1	8454	Q13616	14	8	5	0	0	0	1	0	0	0	0
ADAM18	8749	Q9Y3Q7	14	5	0	2	2	0	5	0	0	0	0
ALDH1A2	8854	O94788	14	3	4	0	6	0	1	0	0	0	0
GOSR1	9527	O95249	14	3	5	2	0	0	4	0	0	0	0
ABCB6	10058	Q9NP58	14	7	5	0	0	0	2	0	0	0	0
RNF13	11342	O43567	14	3	5	1	1	0	4	0	0	0	0
EMC1	23065	Q8N766	14	3	1	2	5	0	3	0	0	0	0
RRP12	23223	Q5JTH9	14	7	5	1	0	0	1	0	0	0	0
NUP210	23225	Q8TEM1	14	3	3	1	3	0	4	0	0	0	0
GMNN	51053	O75496	14	5	3	2	2	0	2	0	0	0	0
MRPL30	51263	Q8TCC3	14	4	2	4	4	0	0	0	0	0	0
WNT16	51384	Q9UBV4	14	4	2	2	3	0	3	0	0	0	0
TMCO1	54499	Q9UM00	14	5	2	3	1	0	3	0	0	0	0
TMEM214	54867	Q6NUQ4	14	4	2	1	2	0	5	0	0	0	0
SLFN12	55106	Q8IYM2	14	0	3	1	6	0	4	0	0	0	0
APOM	55937	O95445	14	3	4	1	3	0	3	0	0	0	0
ESYT2	57488	A0FGR8	14	3	2	5	4	0	0	0	0	0	0
COPS7B	64708	Q9H9Q2	14	3	5	1	1	0	4	0	0	0	0
PPCS	79717	Q9HAB8	14	7	1	1	1	0	4	0	0	0	0
PAAF1	80227	Q9BRP4	14	4	3	1	5	0	1	0	0	0	0
EIF1AD	84285	Q8N9N8	14	5	4	0	1	0	4	0	0	0	0
NUDT16L1	84309	Q9BRJ7	14	2	5	1	6	0	0	0	0	0	0
FAM186A	121006	A6NE01	14	2	4	3	0	0	5	0	0	0	0
TPH2	121278	Q8IWU9	14	2	3	2	3	0	4	0	0	0	0
FRMD6	122786	Q96NE9	14	1	4	0	2	0	7	0	0	0	0
ZC3H18	124245	Q86VM9	14	3	2	0	4	0	5	0	0	0	0
IL4I1	259307	Q96RQ9	14	2	3	3	3	0	3	0	0	0	0
TRIM72	493829	Q6ZMU5	14	3	4	0	4	0	3	0	0	0	0
ACADS	35	P16219	14	2	1	1	4	1	5	0	0	0	0
ADCY7	113	P51828	14	4	2	4	1	0	3	0	0	0	0
AIF1	199	P55008	14	5	3	1	3	0	2	0	0	0	0
AOX1	316	Q06278	14	5	1	3	2	1	2	0	0	0	0
ARSA	410	P15289	14	4	3	1	3	0	3	0	0	0	0
BGN	633	P21810	14	3	4	3	2	0	2	0	0	0	0
CALCB	797	P10092	14	4	4	1	1	0	4	0	0	0	0
CPOX	1371	P36551	14	7	3	1	1	0	2	0	0	0	0
DECR1	1666	Q16698	14	4	0	3	2	1	4	0	0	0	0
HPR	3250	P00739	14	5	2	3	4	0	0	0	0	0	0
IMPA2	3613	O14732	14	4	4	0	3	0	3	0	0	0	0
PALM	5064	O75781	14	3	6	3	1	0	1	0	0	0	0
PML	5371	P29590	14	5	1	2	3	0	3	0	0	0	0
RLBP1	6017	P12271	14	5	0	2	5	0	2	0	0	0	0
RPL36A	6173	P83881	14	7	0	2	2	0	3	0	0	0	0
ZNF19	7567	P17023	14	4	3	2	1	0	4	0	0	0	0
NUP214	8021	P35658	14	2	3	5	1	0	3	0	0	0	0
DEGS1	8560	O15121	14	3	6	2	2	0	1	0	0	0	0
RNASET2	8635	O00584	14	2	4	3	5	0	0	0	0	0	0
SPAG9	9043	O60271	14	3	4	2	1	0	4	0	0	0	0
ZMYM6	9204	O95789	14	5	6	0	0	0	3	0	0	0	0
GRAP2	9402	O75791	14	4	3	3	2	0	2	0	0	0	0
RBM8A	9939	Q9Y5S9	14	3	1	2	2	0	6	0	0	0	0
FST	10468	P19883	14	5	5	1	2	0	1	0	0	0	0
WDR4	10785	P57081	14	3	6	0	3	0	2	0	0	0	0
COMMD3	23412	Q9UBI1	14	6	1	3	3	0	1	0	0	0	0
LSM5	23658	Q9Y4Y9	14	2	5	2	4	0	1	0	0	0	0
SDF2L1	23753	Q9HCN8	14	5	2	3	3	0	1	0	0	0	0
ARMC8	25852	Q8IUR7	14	4	4	2	2	0	2	0	0	0	0
GHITM	27069	Q9H3K2	14	3	5	0	4	0	2	0	0	0	0
PHPT1	29085	Q9NRX4	14	4	4	2	4	0	0	0	0	0	0
PYCARD	29108	Q9ULZ3	14	1	1	3	4	0	4	0	0	0	1
ANAPC4	29945	Q9UJX5	14	4	4	1	2	0	3	0	0	0	0
UBXN1	51035	Q04323	14	2	3	5	2	0	2	0	0	0	0
IPO11	51194	Q9UI26	14	2	7	1	2	0	2	0	0	0	0
PCDH12	51294	Q9NPG4	14	1	5	2	4	0	2	0	0	0	0
FAM82A2	55177	Q96TC7	14	4	2	2	3	0	3	0	0	0	0
C2orf29	55571	Q9UKZ1	14	4	4	2	2	0	2	0	0	0	0
ACOT13	55856	Q9NPJ3	14	5	1	3	3	0	2	0	0	0	0
CIAPIN1	57019	Q6FI81	14	3	3	1	2	0	5	0	0	0	0
PELI1	57162	Q96FA3	14	4	5	0	1	0	4	0	0	0	0
GPR126	57211	Q86SQ4	14	6	6	0	1	0	1	0	0	0	0
KIAA1598	57698	A0MZ66	14	5	7	2	0	0	0	0	0	0	0
NUP37	79023	Q8NFH4	14	4	0	2	0	0	8	0	0	0	0
SPEF2	79925	Q9C093	14	2	2	3	4	0	3	0	0	0	0
SEH1L	81929	Q96EE3	14	4	5	0	1	0	4	0	0	0	0
INHBE	83729	P58166	14	3	5	0	1	0	5	0	0	0	0
KIAA1109	84162	Q2LD37	14	2	4	2	4	0	2	0	0	0	0
C1QTNF3	114899	Q9BXJ4	14	5	1	2	5	1	0	0	0	0	0
EXOSC6	118460	Q5RKV6	14	3	4	4	0	0	3	0	0	0	0
NEGR1	257194	Q7Z3B1	14	5	1	2	4	0	2	0	0	0	0
HSPA12A	259217	O43301	14	6	3	0	2	0	3	0	0	0	0
ZNF326	284695	Q5BKZ1	14	5	6	0	2	0	1	0	0	0	0
C2orf55	343990	Q6NV74	14	2	3	3	3	0	3	0	0	0	0
ATP2A3	489	Q93084	14	3	1	3	3	0	4	0	0	0	0
CDK6	1021	Q00534	14	4	5	0	2	0	3	0	0	0	0
FBP1	2203	P09467	14	5	3	1	3	0	2	0	0	0	0
GRK6	2870	P43250	14	3	4	1	1	0	5	0	0	0	0
ITGA7	3679	Q13683	14	6	4	0	0	0	4	0	0	0	0
MFAP2	4237	P55001	14	2	4	4	4	0	0	0	0	0	0
MMP1	4312	P03956	14	2	6	0	2	0	4	0	0	0	0
SERPINB9	5272	P50453	14	7	3	0	2	0	2	0	0	0	0
EXOSC9	5393	Q06265	14	4	4	1	2	0	3	0	0	0	0
POLR2C	5432	P19387	14	5	5	2	1	0	1	0	0	0	0
RPE	6120	Q96AT9	14	4	1	1	3	0	5	0	0	0	0
SSR3	6747	Q9UNL2	14	3	5	4	2	0	0	0	0	0	0
TYRO3	7301	Q06418	14	1	2	1	4	0	6	0	0	0	0
PDHX	8050	O00330	14	1	6	3	0	0	4	0	0	0	0
CDC45	8318	O75419	14	5	4	0	0	0	5	0	0	0	0
WISP2	8839	O76076	14	2	4	2	4	0	2	0	0	0	0
P4HA2	8974	O15460	14	4	2	3	3	0	2	0	0	0	0
CLDN12	9069	P56749	14	2	4	1	4	0	3	0	0	0	0
DIRAS3	9077	O95661	14	3	3	3	4	0	1	0	0	0	0
TMSB10	9168	P63313	14	2	1	3	4	1	3	0	0	0	0
STX8	9482	Q9UNK0	14	3	5	1	1	0	4	0	0	0	0
CLCA2	9635	Q9UQC9	14	6	4	2	2	0	0	0	0	0	0
OPTN	10133	Q96CV9	14	4	2	4	1	0	3	0	0	0	0
CTDSPL	10217	O15194	14	5	0	2	5	0	2	0	0	0	0
DSCR4	10281	P56555	14	6	2	0	2	0	4	0	0	0	0
TRIM16	10626	O95361	14	1	5	1	2	0	5	0	0	0	0
TMED2	10959	Q15363	14	5	3	2	2	0	2	0	0	0	0
PADI2	11240	Q9Y2J8	14	4	5	2	2	0	1	0	0	0	0
IKZF3	22806	Q9UKT9	14	1	4	3	5	0	1	0	0	0	0
MRAS	22808	O14807	14	2	3	2	3	0	4	0	0	0	0
PSME4	23198	Q14997	14	5	6	1	2	0	0	0	0	0	0
AHCYL2	23382	Q96HN2	14	8	5	0	0	0	1	0	0	0	0
DKK3	27122	Q9UBP4	14	3	3	3	5	0	0	0	0	0	0
CECR5	27440	Q9BXW7	14	2	1	4	4	0	3	0	0	0	0
UHRF1	29128	Q96T88	14	4	4	2	3	0	1	0	0	0	0
GLRX5	51218	Q86SX6	14	5	2	2	3	0	2	0	0	0	0
APBB1IP	54518	Q7Z5R6	14	4	3	3	3	0	1	0	0	0	0
CMTM6	54918	Q9NX76	14	7	3	1	0	0	3	0	0	0	0
LIME1	54923	Q9H400	14	6	5	1	2	0	0	0	0	0	0
ARFGAP1	55738	Q8N6T3	14	4	2	1	2	0	5	0	0	0	0
MFF	56947	Q9GZY8	14	5	1	1	3	0	4	0	0	0	0
PREX1	57580	Q8TCU6	14	2	3	1	4	0	4	0	0	0	0
WDR48	57599	Q8TAF3	14	7	3	2	1	0	1	0	0	0	0
DCTPP1	79077	Q9H773	14	8	4	1	0	0	1	0	0	0	0
DHRS11	79154	Q6UWP2	14	6	1	1	4	0	2	0	0	0	0
CORO7	79585	P57737	14	10	3	1	0	0	0	0	0	0	0
PREX2	80243	Q70Z35	14	3	6	0	3	0	2	0	0	0	0
INTS5	80789	Q6P9B9	14	1	5	2	2	0	4	0	0	0	0
C10orf11	83938	Q9H2I8	14	4	2	0	6	0	2	0	0	0	0
HVCN1	84329	Q96D96	14	3	2	2	3	0	4	0	0	0	0
CASC4	113201	Q6P4E1	14	2	3	2	3	0	4	0	0	0	0
SDSL	113675	Q96GA7	14	4	2	1	3	0	4	0	0	0	0
NEDD1	121441	Q8NHV4	14	3	2	0	5	0	4	0	0	0	0
HINT3	135114	Q9NQE9	14	9	2	0	0	0	3	0	0	0	0
KDELC2	143888	Q7Z4H8	14	3	6	0	2	0	3	0	0	0	0
AGR3	155465	Q8TD06	14	5	3	1	3	0	2	0	0	0	0
SVIP	258010	Q8NHG7	14	7	3	2	0	0	2	0	0	0	0
ASPM	259266	Q8IZT6	14	6	4	1	1	0	2	0	0	0	0
C8orf82	414919	Q6P1X6	14	5	2	5	1	0	1	0	0	0	0
ACACB	32	O00763	14	3	5	0	1	0	5	0	0	0	0
ANG	283	P03950	14	3	4	0	4	1	2	0	0	0	0
ANK1	286	P16157	14	2	2	1	4	0	5	0	0	0	0
ATRX	546	P46100	14	3	1	3	4	0	3	0	0	0	0
CDC5L	988	Q99459	14	1	7	2	1	0	3	0	0	0	0
CDH6	1004	P55285	14	0	8	0	1	0	5	0	0	0	0
CHKA	1119	P35790	14	4	2	3	0	0	5	0	0	0	0
SLC31A1	1317	O15431	14	6	1	3	1	0	3	0	0	0	0
DAB2	1601	P98082	14	3	2	3	2	0	4	0	0	0	0
DIAPH2	1730	O60879	14	3	1	4	2	0	4	0	0	0	0
GPR183	1880	P32249	14	5	2	2	2	0	3	0	0	0	0
FKBP5	2289	Q13451	14	3	2	1	5	0	3	0	0	0	0
CXCL1	2919	P09341	14	2	6	3	0	0	3	0	0	0	0
GTF2I	2969	P78347	14	0	7	2	1	0	4	0	0	0	0
HADHB	3032	P55084	14	3	6	2	3	0	0	0	0	0	0
IL6ST	3572	P40189	14	2	5	5	2	0	0	0	0	0	0
KRT32	3882	Q14532	14	6	5	1	2	0	0	0	0	0	0
NDUFA4	4697	O00483	14	5	2	2	1	0	4	0	0	0	0
NGFR	4804	P08138	14	4	1	2	2	0	5	0	0	0	0
PTPRH	5794	Q9HD43	14	3	2	1	2	0	6	0	0	0	0
SECTM1	6398	Q8WVN6	14	3	2	4	3	0	2	0	0	0	0
SLC16A2	6567	P36021	14	3	3	3	1	0	4	0	0	0	0
SMARCC1	6599	Q92922	14	2	6	1	1	0	4	0	0	0	0
SYK	6850	P43405	14	6	4	0	2	0	2	0	0	0	0
ZNF187	7741	Q16670	14	4	2	1	2	0	5	0	0	0	0
CDS2	8760	O95674	14	3	3	3	3	0	2	0	0	0	0
RNF7	9616	Q9UBF6	14	3	4	0	2	0	5	0	0	0	0
TTLL4	9654	Q14679	14	3	0	2	5	0	4	0	0	0	0
PIEZO1	9780	Q92508	14	2	3	2	1	0	6	0	0	0	0
GPR64	10149	Q8IZP9	14	2	2	1	5	0	4	0	0	0	0
ANAPC10	10393	Q9UM13	14	1	1	2	4	0	6	0	0	0	0
MTX2	10651	O75431	14	5	1	3	2	0	3	0	0	0	0
PPP1R13L	10848	Q8WUF5	14	5	1	2	2	0	4	0	0	0	0
ANKRD28	23243	O15084	14	5	4	2	1	0	2	0	0	0	0
OSBPL3	26031	Q9H4L5	14	6	3	1	0	0	4	0	0	0	0
COPG2	26958	Q9UBF2	14	5	5	2	1	0	1	0	0	0	0
TAGLN3	29114	Q9UI15	14	4	8	1	1	0	0	0	0	0	0
NT5C3	51251	Q9H0P0	14	6	3	1	1	0	3	0	0	0	0
UFC1	51506	Q9Y3C8	14	5	2	1	5	0	1	0	0	0	0
MRPL48	51642	Q96GC5	14	4	3	1	4	0	2	0	0	0	0
CYB5R1	51706	Q9UHQ9	14	5	2	1	3	0	3	0	0	0	0
HEATR5B	54497	Q9P2D3	14	4	4	2	2	0	2	0	0	0	0
DNAJB12	54788	Q9NXW2	14	5	2	1	2	0	4	0	0	0	0
PXK	54899	Q7Z7A4	14	1	2	0	5	0	6	0	0	0	0
SMG8	55181	Q8ND04	14	2	4	1	3	0	4	0	0	0	0
ARHGEF40	55701	Q8TER5	14	3	5	1	2	0	3	0	0	0	0
NDRG2	57447	Q9UN36	14	5	3	2	3	0	1	0	0	0	0
KIAA1524	57650	Q8TCG1	14	1	5	3	2	0	3	0	0	0	0
MRPS35	60488	P82673	14	5	4	1	1	0	3	0	0	0	0
ELMO2	63916	Q96JJ3	14	4	4	2	1	0	3	0	0	0	0
MRPS14	63931	O60783	14	2	4	0	4	0	4	0	0	0	0
ULBP3	79465	Q9BZM4	14	3	3	3	1	0	4	0	0	0	0
ZFAND1	79752	Q8TCF1	14	3	4	3	3	0	1	0	0	0	0
TRMT1L	81627	Q7Z2T5	14	7	4	0	2	0	1	0	0	0	0
LZIC	84328	Q8WZA0	14	3	3	2	2	0	4	0	0	0	0
HOOK3	84376	Q86VS8	14	4	3	4	1	0	2	0	0	0	0
TANC1	85461	Q9C0D5	14	4	5	2	1	0	2	0	0	0	0
KIAA2013	90231	Q8IYS2	14	4	4	4	1	0	1	0	0	0	0
TMEM55B	90809	Q86T03	14	1	6	2	4	0	1	0	0	0	0
SLC38A5	92745	Q8WUX1	14	6	2	1	1	0	4	0	0	0	0
PRKCDBP	112464	Q969G5	14	1	5	2	2	0	4	0	0	0	0
TPRA1	131601	Q86W33	14	4	2	2	1	0	5	0	0	0	0
OCIAD2	132299	Q56VL3	14	3	1	2	4	0	4	0	0	0	0
CMTM4	146223	Q8IZR5	14	4	4	2	3	0	1	0	0	0	0
STT3B	201595	Q8TCJ2	14	4	1	3	4	0	2	0	0	0	0
C10orf47	254427	Q86WR7	14	2	3	1	1	0	7	0	0	0	0
TMEM119	338773	Q4V9L6	14	3	2	3	4	0	2	0	0	0	0
PDDC1	347862	Q8NB37	14	2	4	0	4	0	4	0	0	0	0
CCDC73	493860	Q6ZRK6	14	4	0	1	5	0	4	0	0	0	0
ABCA2	20	Q9BZC7	14	3	4	1	2	0	4	0	0	0	0
ANK3	288	Q12955	14	1	4	2	3	0	4	0	0	0	0
AREG	374	P15514	14	6	4	0	1	0	3	0	0	0	0
FXYD2	486	P54710	14	3	4	1	2	0	4	0	0	0	0
CD28	940	P10747	14	5	3	4	2	0	0	0	0	0	0
DCTD	1635	P32321	14	7	0	3	4	0	0	0	0	0	0
TIMM8A	1678	O60220	14	3	2	3	4	0	2	0	0	0	0
GALNT3	2591	Q14435	14	6	3	1	0	0	4	0	0	0	0
KRT15	3866	P19012	14	14	0	0	0	0	0	0	0	0	0
LPL	4023	P06858	14	1	6	0	2	4	1	0	0	0	0
PLD2	5338	O14939	14	5	4	1	3	0	1	0	0	0	0
PTPRZ1	5803	P23471	14	2	4	1	1	3	3	0	0	0	0
UVRAG	7405	Q9P2Y5	14	5	1	4	1	0	3	0	0	0	0
CCDC6	8030	Q16204	14	5	3	1	3	0	2	0	0	0	0
SUCLG1	8802	P53597	14	6	3	1	2	0	2	0	0	0	0
EIF2B5	8893	Q13144	14	5	5	0	1	0	3	0	0	0	0
GCNT3	9245	O95395	14	2	6	1	3	0	2	0	0	0	0
THOC1	9984	Q96FV9	14	4	7	1	1	0	1	0	0	0	0
LPHN2	23266	O95490	14	0	8	3	0	0	3	0	0	0	0
TMEM50A	23585	O95807	14	3	5	3	2	0	1	0	0	0	0
CARHSP1	23589	Q9Y2V2	14	5	6	2	0	0	1	0	0	0	0
DAZAP1	26528	Q96EP5	14	4	8	2	0	0	0	0	0	0	0
HTRA2	27429	O43464	14	2	3	3	2	0	4	0	0	0	0
MRPS28	28957	Q9Y2Q9	14	2	3	2	6	0	1	0	0	0	0
BABAM1	29086	Q9NWV8	14	4	5	0	2	0	3	0	0	0	0
TBK1	29110	Q9UHD2	14	7	3	2	1	0	1	0	0	0	0
PIGP	51227	P57054	14	4	4	2	3	0	1	0	0	0	0
ZAK	51776	Q9NYL2	14	2	1	0	3	0	8	0	0	0	0
PARP14	54625	Q460N5	14	7	3	3	1	0	0	0	0	0	0
LRRC8D	55144	Q7L1W4	14	3	3	0	3	0	5	0	0	0	0
TBC1D2	55357	Q9BYX2	14	2	4	4	1	0	3	0	0	0	0
YOD1	55432	Q5VVQ6	14	4	1	2	2	0	5	0	0	0	0
BDH2	56898	Q9BUT1	14	4	3	3	2	0	2	0	0	0	0
PRTFDC1	56952	Q9NRG1	14	4	2	2	3	0	3	0	0	0	0
NUP107	57122	P57740	14	1	5	3	5	0	0	0	0	0	0
SUSD1	64420	Q6UWL2	14	5	2	1	5	0	1	0	0	0	0
YRDC	79693	Q86U90	14	3	3	0	5	0	3	0	0	0	0
WNT5B	81029	Q9H1J7	14	3	4	3	3	0	1	0	0	0	0
FAM136A	84908	Q96C01	14	5	4	2	0	0	3	0	0	0	0
SYTL5	94122	Q8TDW5	14	2	3	2	5	0	2	0	0	0	0
C10orf67	256815	Q8IYJ2	14	5	4	2	0	0	3	0	0	0	0
IGSF10	285313	Q6WRI0	14	3	2	2	4	0	3	0	0	0	0
SCAI	286205	Q8N9R8	14	6	1	0	5	0	2	0	0	0	0
MIA3	375056	Q5JRA6	14	3	1	2	4	0	4	0	0	0	0
GOLGA7B	401647	Q2TAP0	14	3	3	2	5	0	1	0	0	0	0
CHAC2	494143	Q8WUX2	14	2	4	2	2	0	4	0	0	0	0
MSMP	692094	Q1L6U9	14	1	3	1	5	0	4	0	0	0	0
RPL17-C18ORF32	100526842	A0A0A0MRF8	14	12	2	0	0	0	0	0	0	0	0
ACAN	176	P16112	14	2	3	2	4	0	3	0	0	0	0
C6	729	P13671	14	3	3	2	3	0	3	0	0	0	0
CSTF1	1477	Q05048	14	6	2	2	2	0	2	0	0	0	0
CTBP1	1487	Q13363	14	4	7	2	1	0	0	0	0	0	0
MLANA	2315	Q16655	14	4	4	3	3	0	0	0	0	0	0
GNG10	2790	P50151	14	2	3	1	5	0	3	0	0	0	0
ME2	4200	P23368	14	2	2	2	4	0	4	0	0	0	0
MEST	4232	Q5EB52	14	3	6	2	2	0	1	0	0	0	0
CNOT2	4848	Q9NZN8	14	4	2	3	0	0	5	0	0	0	0
PPP1R8	5511	Q12972	14	6	4	2	2	0	0	0	0	0	0
RNASE4	6038	P34096	14	4	5	0	4	0	1	0	0	0	0
KCNAB2	8514	Q13303	14	7	2	1	3	0	1	0	0	0	0
PPAP2A	8611	O14494	14	4	1	3	2	0	4	0	0	0	0
ADAMTS2	9509	O95450	14	3	3	1	4	0	3	0	0	0	0
CEBPZ	10153	Q03701	14	3	0	0	5	0	6	0	0	0	0
ODZ1	10178	Q9UKZ4	14	2	4	2	4	0	2	0	0	0	0
NXF1	10482	Q9UBU9	14	5	7	2	0	0	0	0	0	0	0
ARFGEF2	10564	Q9Y6D5	14	7	3	1	1	0	2	0	0	0	0
LEFTY1	10637	O75610	14	2	2	2	3	0	5	0	0	0	0
CCDC19	25790	Q9UL16	14	5	2	1	5	0	1	0	0	0	0
EGFL7	51162	Q9UHF1	14	3	3	2	4	0	2	0	0	0	0
PCID2	55795	Q5JVF3	14	5	3	2	1	0	3	0	0	0	0
ZC3H15	55854	Q8WU90	14	4	4	0	4	0	2	0	0	0	0
PLSCR4	57088	Q9NRQ2	14	3	4	2	4	0	1	0	0	0	0
LHPP	64077	Q9H008	14	2	4	3	2	0	3	0	0	0	0
APOO	79135	Q9BUR5	14	3	4	3	0	0	4	0	0	0	0
HECTD3	79654	Q5T447	14	5	4	0	3	0	2	0	0	0	0
GSDMD	79792	P57764	14	4	3	0	3	0	4	0	0	0	0
NAA60	79903	Q9H7X0	14	2	5	0	4	0	3	0	0	0	0
TMEM47	83604	Q9BQJ4	14	3	1	2	4	0	4	0	0	0	0
C2orf88	84281	Q9BSF0	14	5	2	0	5	0	2	0	0	0	0
MINA	84864	Q8IUF8	14	2	6	1	3	0	2	0	0	0	0
C9orf100	84904	Q8N4T4	14	6	4	0	2	0	2	0	0	0	0
TRIM47	91107	Q96LD4	14	2	5	1	4	0	2	0	0	0	0
TMEM54	113452	Q969K7	14	6	2	1	5	0	0	0	0	0	0
OR51F2	119694	Q8NH61	14	3	3	2	3	0	3	0	0	0	0
UNC13D	201294	Q70J99	14	1	2	3	4	0	4	0	0	0	0
TMEM9	252839	Q9P0T7	14	2	3	3	3	0	3	0	0	0	0
FAM45A	404636	Q8TCE6	14	2	5	0	4	0	3	0	0	0	0
NOMO3	408050	P69849	14	3	2	3	2	0	4	0	0	0	0
GJB2	2706	P29033	14	4	3	2	2	0	3	0	0	0	0
KRT12	3859	Q99456	14	10	4	0	0	0	0	0	0	0	0
PCDH1	5097	Q08174	14	3	3	4	0	1	3	0	0	0	0
KRT75	9119	O95678	14	14	0	0	0	0	0	0	0	0	0
DIP2C	22982	Q9Y2E4	14	3	5	1	3	1	1	0	0	0	0
SCYL2	55681	Q6P3W7	14	3	3	2	1	0	5	0	0	0	0
LMBRD1	55788	Q9NUN5	14	3	1	2	5	0	3	0	0	0	0
LRRC19	64922	Q9H756	14	2	4	1	3	0	4	0	0	0	0
CRISPLD1	83690	Q9H336	14	3	6	1	2	0	2	0	0	0	0
TSPAN10	83882	Q9H1Z9	14	5	2	1	4	0	2	0	0	0	0
SERAC1	84947	Q96JX3	14	5	4	2	3	0	0	0	0	0	0
ANKRD18A	253650	Q8IVF6	14	3	1	1	4	0	5	0	0	0	0
SPRYD4	283377	Q8WW59	14	3	4	1	3	0	3	0	0	0	0
TMEM179B	374395	Q7Z7N9	14	3	6	1	2	0	2	0	0	0	0
BLM	641	P54132	14	6	2	1	2	0	3	0	0	0	0
MAN1A2	10905	O60476	14	2	5	1	1	0	5	0	0	0	0
TMEM127	55654	O75204	14	4	1	3	2	0	4	0	0	0	0
FRAS1	80144	Q86XX4	14	3	5	2	2	0	2	0	0	0	0
DTX3L	151636	Q8TDB6	14	4	7	3	0	0	0	0	0	0	0
F2	2147	P00734	13	0	4	2	0	7	0	0	0	0	0
GC	2638	P02774	13	3	3	0	0	7	0	0	0	0	0
CD70	970	P32970	13	3	5	2	1	2	0	0	0	0	0
HLA-DPB1	3115	P04440	13	5	1	3	0	0	4	0	0	0	0
GAP43	2596	P17677	13	1	4	2	0	2	4	0	0	0	0
PIN1	5300	Q13526	13	5	2	4	1	0	1	0	0	0	0
MRPL15	29088	Q9P015	13	6	3	2	1	0	1	0	0	0	0
PTMA	5757	P06454	13	2	4	4	1	0	2	0	0	0	0
PTPN6	5777	P29350	13	6	4	1	1	0	1	0	0	0	0
NRP2	8828	O60462	13	3	0	1	3	2	4	0	0	0	0
RTN3	10313	O95197	13	2	3	2	1	1	4	0	0	0	0
UTP18	51096	Q9Y5J1	13	2	1	2	2	0	6	0	0	0	0
APOOL	139322	Q6UXV4	13	1	4	2	2	0	4	0	0	0	0
SWAP70	23075	Q9UH65	13	4	4	1	2	0	2	0	0	0	0
GIT1	28964	Q9Y2X7	13	4	1	2	2	0	4	0	0	0	0
UBR5	51366	O95071	13	3	6	3	0	0	1	0	0	0	0
ZNF407	55628	Q9C0G0	13	2	1	3	5	0	2	0	0	0	0
SH3BGRL2	83699	Q9UJC5	13	6	4	2	0	0	1	0	0	0	0
ACP5	54	P13686	13	4	4	0	1	0	4	0	0	0	0
SHROOM2	357	Q13796	13	5	2	0	3	0	3	0	0	0	0
CD37	951	P11049	13	4	3	0	3	0	3	0	0	0	0
CDO1	1036	Q16878	13	3	2	2	3	0	3	0	0	0	0
MUC1	4582	P15941	13	2	2	7	1	0	1	0	0	0	0
SNRPF	6636	P62306	13	4	3	2	1	0	3	0	0	0	0
HIST1H2AK	8330	P0C0S8	13	9	0	0	0	4	0	0	0	0	0
HIST1H2AG	8969	P0C0S8	13	8	0	0	0	5	0	0	0	0	0
MRC2	9902	Q9UBG0	13	4	3	1	1	1	3	0	0	0	0
KDM1A	23028	O60341	13	5	6	1	0	0	1	0	0	0	0
SYNE2	23224	Q8WXH0	13	1	4	3	3	0	2	0	0	0	0
ZRANB1	54764	Q9UGI0	13	1	3	4	2	0	3	0	0	0	0
UQCC	55245	Q9NVA1	13	3	4	3	1	0	2	0	0	0	0
WDR61	80349	Q9GZS3	13	3	7	2	0	0	1	0	0	0	0
JAM3	83700	Q9BX67	13	1	2	1	5	0	4	0	0	0	0
PRIC285	85441	Q9BYK8	13	2	2	2	3	0	4	0	0	0	0
APOD	347	P05090	13	3	2	2	1	1	4	0	0	0	0
BMP7	655	P18075	13	5	2	1	3	0	2	0	0	0	0
GLUD2	2747	P49448	13	6	3	0	4	0	0	0	0	0	0
NAGA	4668	P17050	13	4	4	0	3	0	2	0	0	0	0
RAB27B	5874	O00194	13	4	2	3	4	0	0	0	0	0	0
SEL1L	6400	Q9UBV2	13	5	2	2	0	0	4	0	0	0	0
SPP2	6694	Q13103	13	3	6	1	2	0	1	0	0	0	0
SRP19	6728	P09132	13	1	4	4	2	0	2	0	0	0	0
TYMS	7298	P04818	13	3	2	1	3	0	4	0	0	0	0
COL14A1	7373	Q05707	13	1	3	0	3	0	6	0	0	0	0
ABCG1	9619	P45844	13	5	4	1	1	0	2	0	0	0	0
GPD1L	23171	Q8N335	13	2	5	2	2	0	2	0	0	0	0
